Frame: 121, Tracker ID: 2, Speed: 122 km/h
Frame: 122, Tracker ID: 5, Speed: 118 km/h
Frame: 122, Tracker ID: 7, Speed: 111 km/h
Frame: 122, Tracker ID: 2, Speed: 118 km/h
Frame: 123, Tracker ID: 5, Speed: 118 km/h
Frame: 123, Tracker ID: 7, Speed: 108 km/h
Frame: 123, Tracker ID: 2, Speed: 115 km/h
Frame: 124, Tracker ID: 5, Speed: 118 km/h
Frame: 124, Tracker ID: 7, Speed: 115 km/h
Frame: 124, Tracker ID: 2, Speed: 118 km/h
Frame: 125, Tracker ID: 5, Speed: 115 km/h
Frame: 125, Tracker ID: 7, Speed: 111 km/h
Frame: 125, Tracker ID: 2, Speed: 118 km/h
Frame: 126, Tracker ID: 5, Speed: 118 km/h
Frame: 126, Tracker ID: 7, Speed: 111 km/h
Frame: 126, Tracker ID: 2, Speed: 118 km/h
Frame: 127, Tracker ID: 7, Speed: 108 km/h
Frame: 127, Tracker ID: 5, Speed: 118 km/h
Frame: 127, Tracker ID: 2, Speed: 118 km/h
Frame: 128, Tracker ID: 5, Speed: 115 km/h
Frame: 128, Tracker ID: 7, Speed: 115 km/h
Frame: 128, Tracker ID: 2, Speed: 115 km/h
Frame: 129, Tracker ID: 5, Speed: 118 km/h
Frame: 129, Tracker ID: 7, Speed: 111 km/h
Frame: 129, Tracker ID: 2, Speed: 118 km/h
Frame: 130, Tracker ID: 5, Speed: 118 km/h
Frame: 130, Tracker ID: 7, Speed: 111 km/h
Frame: 130, Tracker ID: 2, Speed: 115 km/h
Frame: 131, Tracker ID: 5, Speed: 118 km/h
Frame: 131, Tracker ID: 7, Speed: 118 km/h
Frame: 131, Tracker ID: 2, Speed: 115 km/h
Frame: 132, Tracker ID: 5, Speed: 118 km/h
Frame: 132, Tracker ID: 2, Speed: 118 km/h
Frame: 132, Tracker ID: 7, Speed: 115 km/h
Frame: 133, Tracker ID: 5, Speed: 115 km/h
Frame: 133, Tracker ID: 7, Speed: 115 km/h
Frame: 133, Tracker ID: 2, Speed: 115 km/h
Frame: 134, Tracker ID: 5, Speed: 118 km/h
Frame: 134, Tracker ID: 7, Speed: 115 km/h
Frame: 134, Tracker ID: 2, Speed: 118 km/h
Frame: 135, Tracker ID: 5, Speed: 118 km/h
Frame: 135, Tracker ID: 2, Speed: 118 km/h
Frame: 135, Tracker ID: 7, Speed: 108 km/h
Frame: 136, Tracker ID: 5, Speed: 115 km/h
Frame: 136, Tracker ID: 7, Speed: 111 km/h
Frame: 136, Tracker ID: 2, Speed: 115 km/h
Frame: 137, Tracker ID: 5, Speed: 118 km/h
Frame: 137, Tracker ID: 7, Speed: 111 km/h
Frame: 137, Tracker ID: 2, Speed: 115 km/h
Frame: 138, Tracker ID: 5, Speed: 115 km/h
Frame: 138, Tracker ID: 7, Speed: 111 km/h
Frame: 138, Tracker ID: 2, Speed: 118 km/h
Frame: 139, Tracker ID: 5, Speed: 115 km/h
Frame: 139, Tracker ID: 7, Speed: 111 km/h
Frame: 139, Tracker ID: 2, Speed: 118 km/h
Frame: 140, Tracker ID: 5, Speed: 118 km/h
Frame: 140, Tracker ID: 7, Speed: 111 km/h
Frame: 140, Tracker ID: 2, Speed: 118 km/h
Frame: 141, Tracker ID: 5, Speed: 118 km/h
Frame: 141, Tracker ID: 7, Speed: 111 km/h
Frame: 141, Tracker ID: 2, Speed: 115 km/h
Frame: 142, Tracker ID: 7, Speed: 115 km/h
Frame: 142, Tracker ID: 5, Speed: 115 km/h
Frame: 142, Tracker ID: 2, Speed: 115 km/h
Frame: 143, Tracker ID: 7, Speed: 111 km/h
Frame: 143, Tracker ID: 5, Speed: 115 km/h
Frame: 143, Tracker ID: 2, Speed: 115 km/h
Frame: 144, Tracker ID: 7, Speed: 111 km/h
Frame: 144, Tracker ID: 5, Speed: 115 km/h
Frame: 144, Tracker ID: 2, Speed: 118 km/h
Frame: 145, Tracker ID: 7, Speed: 108 km/h
Frame: 145, Tracker ID: 5, Speed: 122 km/h
Frame: 145, Tracker ID: 2, Speed: 115 km/h
Frame: 146, Tracker ID: 5, Speed: 115 km/h
Frame: 146, Tracker ID: 7, Speed: 108 km/h
Frame: 146, Tracker ID: 2, Speed: 115 km/h
Frame: 147, Tracker ID: 5, Speed: 115 km/h
Frame: 147, Tracker ID: 7, Speed: 111 km/h
Frame: 147, Tracker ID: 2, Speed: 118 km/h
Frame: 148, Tracker ID: 7, Speed: 108 km/h
Frame: 148, Tracker ID: 5, Speed: 115 km/h
Frame: 148, Tracker ID: 2, Speed: 115 km/h
Frame: 149, Tracker ID: 5, Speed: 118 km/h
Frame: 149, Tracker ID: 7, Speed: 111 km/h
Frame: 149, Tracker ID: 2, Speed: 115 km/h
Frame: 150, Tracker ID: 7, Speed: 111 km/h
Frame: 150, Tracker ID: 5, Speed: 115 km/h
Frame: 150, Tracker ID: 2, Speed: 115 km/h
Frame: 151, Tracker ID: 7, Speed: 111 km/h
Frame: 151, Tracker ID: 5, Speed: 115 km/h
Frame: 151, Tracker ID: 2, Speed: 115 km/h
Frame: 152, Tracker ID: 7, Speed: 108 km/h
Frame: 152, Tracker ID: 5, Speed: 118 km/h
Frame: 153, Tracker ID: 5, Speed: 115 km/h
